#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SRR5024_pe_SRR5024282_db_meta4.metaphlan	SRR5024_pe_SRR5024281_db_meta4.metaphlan	SRR5024_pe_SRR5024283_db_meta4.metaphlan	SRR5024_pe_SRR5024280_db_meta4.metaphlan
k__Bacteria|p__Firmicutes|c__CFGB1303	0.00306	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00282	0.16707	2.44997	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.00127	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1211	0.00102	0.0	0.0	0.03647
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	0.00046	0.0	0.0	0.00729
k__Bacteria|p__Firmicutes|c__CFGB3012	0.00028	0.0	0.0	6.07772
k__Bacteria|p__Tenericutes|c__CFGB4862	0.00028	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	27.99953	57.97549	27.11802	55.49226
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	21.58999	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.42886	32.10789	60.32129	6.42244
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	5.13445	0.02926	0.6025	11.10542
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	5.01681	1.96519	3.41742	0.01529
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	4.21742	0.18929	0.79902	0.4665
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	3.40723	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.29453	0.20364	0.0	2.25777
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2.06946	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.98118	0.48291	2.28299	2.30965
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1.55335	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.11233	1.28582	0.25159	3.07717
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	1.01171	0.01173	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	0.91731	0.0	0.0	0.10256
k__Bacteria|p__Firmicutes|c__CFGB3022|o__OFGB3022	0.85721	0.00142	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.81124	0.97681	0.51233	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.80965	0.38458	1.25168	0.78112
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	0.52498	0.0081	0.0	0.00317
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.49967	0.03827	0.0	4.4837
k__Bacteria|p__Firmicutes|c__CFGB3043|o__OFGB3043	0.45323	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983	0.40334	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75715|o__OFGB75715	0.36587	0.0	0.0	0.00067
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.27548	0.23381	0.60536	0.0081
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	0.26335	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	0.2328	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	0.21577	0.06664	0.0	0.22736
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	0.20897	0.00978	0.02589	0.07177
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779	0.14843	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.13867	0.02374	0.0	0.07087
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	0.13434	0.09135	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	0.11886	0.36803	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212	0.10424	0.02336	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881	0.0905	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	0.08417	0.4475	0.02886	0.00189
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	0.07712	0.00232	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	0.07367	0.01849	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.06889	0.00505	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388	0.0658	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352	0.05916	0.06732	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670	0.05493	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.05069	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	0.04746	0.0	0.0	0.1107
k__Bacteria|p__Firmicutes|c__CFGB76533|o__OFGB76533	0.04476	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	0.04025	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76784|o__OFGB76784	0.03123	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3172|o__OFGB3172	0.02995	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.02946	0.1827	0.0	0.32437
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	0.02807	0.00182	0.0	0.00717
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	0.02661	0.00137	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922	0.0242	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581	0.02368	0.0	0.0	0.00245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.02263	0.0	0.0	0.14565
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262	0.02224	0.0	0.0	0.01575
k__Bacteria|p__Firmicutes|c__CFGB2957|o__OFGB2957	0.0211	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	0.02062	0.01228	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76016|o__OFGB76016	0.01879	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	0.01732	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76428|o__OFGB76428	0.01455	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071	0.01233	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0.00932	0.32088	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	0.00803	0.0	0.0	0.03186
